CE_train,CE_val,accuracy_train,accuracy_val
2.088785151221535408e+00,1.978603823089599700e+00,5.903636363636363127e-01,7.556000000000000494e-01
1.941247541427612244e+00,1.913119225883483931e+00,7.841090909090908667e-01,8.064000000000000057e-01
1.899676790150728989e+00,1.888125456809997660e+00,8.129636363636363328e-01,8.224000000000000199e-01
1.881466292598030776e+00,1.875076319122314539e+00,8.248545454545455069e-01,8.279999999999999583e-01
1.871129181948575138e+00,1.867075283813476538e+00,8.316545454545454241e-01,8.342000000000000526e-01
1.864367081035267271e+00,1.861335942459106496e+00,8.360909090909091068e-01,8.334000000000000297e-01
1.859566533565521151e+00,1.857358009910583529e+00,8.381818181818181390e-01,8.376000000000000112e-01
1.855927934213118080e+00,1.854129475593566889e+00,8.403636363636363127e-01,8.377999999999999892e-01
1.853085697390816522e+00,1.851917275047302303e+00,8.416727272727272391e-01,8.404000000000000359e-01
1.850686077204617641e+00,1.849841025161743202e+00,8.431636363636363374e-01,8.434000000000000385e-01
