CE_train,CE_val,accuracy_train,accuracy_val
2.090898791616613295e+00,1.978007316207885724e+00,5.771272727272727110e-01,7.590000000000000080e-01
1.939082351164384432e+00,1.911626032257080166e+00,7.920909090909090677e-01,8.175999999999999934e-01
1.897688326358795141e+00,1.886962878036499092e+00,8.216545454545454152e-01,8.259999999999999565e-01
1.880113772739063549e+00,1.874621071052551269e+00,8.315454545454545876e-01,8.344000000000000306e-01
1.870109839699485077e+00,1.866285845947265543e+00,8.364727272727272567e-01,8.386000000000000121e-01
1.863327753110365359e+00,1.860848662185669022e+00,8.394545454545454533e-01,8.406000000000000139e-01
1.858489750211889113e+00,1.856392114448547348e+00,8.408181818181817979e-01,8.477999999999999980e-01
1.854760950521989304e+00,1.853515032196044965e+00,8.436000000000000165e-01,8.431999999999999496e-01
1.851791697111996760e+00,1.850799752807617216e+00,8.441090909090909200e-01,8.431999999999999496e-01
1.849384438948197706e+00,1.848521098327636780e+00,8.451999999999999513e-01,8.459999999999999742e-01
