CE_train,CE_val,accuracy_train,accuracy_val
2.208116920211098400e+00,2.170911351966857694e+00,5.321272727272727820e-01,5.789999999999999591e-01
2.148674367124383977e+00,2.143425773048400984e+00,6.263272727272727325e-01,6.368000000000000327e-01
2.129074976574290901e+00,2.130238383674621705e+00,6.639818181818182286e-01,6.612000000000000099e-01
2.118559845707633116e+00,2.122322254943847852e+00,6.822909090909090590e-01,6.740000000000000435e-01
2.111891440434889411e+00,2.116935307312011627e+00,6.940545454545454795e-01,6.797999999999999599e-01
2.107177939891815122e+00,2.113048249435424797e+00,6.994727272727272460e-01,6.867999999999999661e-01
2.103647622628645575e+00,2.110177204704284826e+00,7.060545454545454902e-01,6.815999999999999837e-01
2.100888763080943633e+00,2.107755124473571939e+00,7.077454545454545665e-01,6.860000000000000542e-01
2.098656769362362784e+00,2.105751914978027273e+00,7.097818181818181804e-01,6.879999999999999449e-01
2.096774008664217703e+00,2.104048138236999321e+00,7.119090909090909358e-01,6.955999999999999961e-01
