CE_train,CE_val,accuracy_train,accuracy_val
2.148602617350491517e+00,2.038048323440551979e+00,5.293636363636363695e-01,6.972000000000000419e-01
2.001294509931044185e+00,1.970637943077087506e+00,7.471454545454545570e-01,7.820000000000000284e-01
1.961515407562255842e+00,1.947474365615844638e+00,7.948909090909090924e-01,8.034000000000000030e-01
1.944709381710399310e+00,1.935042130661010829e+00,8.103272727272726739e-01,8.152000000000000357e-01
1.934897595015439231e+00,1.927492162513732898e+00,8.171818181818182314e-01,8.212000000000000410e-01
1.928320775032043466e+00,1.921716797637939456e+00,8.199090909090909207e-01,8.252000000000000446e-01
1.923538149877028092e+00,1.917635695648193250e+00,8.237636363636363646e-01,8.257999999999999785e-01
1.919850416703657636e+00,1.914067351531982375e+00,8.251636363636363214e-01,8.257999999999999785e-01
1.916864890098571861e+00,1.911446431350708020e+00,8.261636363636363223e-01,8.272000000000000464e-01
1.914367973457683281e+00,1.909394033432006754e+00,8.267090909090909490e-01,8.276000000000000023e-01
