CE_train,CE_val,accuracy_train,accuracy_val
2.145524629159407226e+00,2.065002811241150038e+00,4.342545454545454486e-01,5.470000000000000417e-01
2.032345273971557731e+00,1.999660405540466313e+00,6.403818181818181632e-01,7.116000000000000103e-01
1.985667001247406027e+00,1.965826283645629946e+00,7.389999999999999902e-01,7.713999999999999746e-01
1.959735060561786923e+00,1.945208701324462996e+00,7.697818181818182337e-01,7.912000000000000144e-01
1.942862667127088994e+00,1.931418479347229100e+00,7.856363636363636882e-01,7.995999999999999774e-01
1.931166544133966712e+00,1.921800839424133267e+00,7.941090909090908756e-01,8.045999999999999819e-01
1.922646906635977926e+00,1.914573591041564882e+00,8.010181818181818514e-01,8.117999999999999661e-01
1.916203854257410244e+00,1.908774665069580045e+00,8.052727272727272512e-01,8.114000000000000101e-01
1.911123412392356169e+00,1.904432718276977576e+00,8.072000000000000286e-01,8.124000000000000110e-01
1.907022545077583953e+00,1.900641444778442324e+00,8.092909090909090608e-01,8.169999999999999485e-01
