CE_train,CE_val,accuracy_train,accuracy_val
2.200155488317662833e+00,2.126961558532714847e+00,3.367818181818181822e-01,4.865999999999999770e-01
2.103132397651672481e+00,2.081848780059814441e+00,5.127636363636363104e-01,5.295999999999999597e-01
2.073065986286509954e+00,2.061966984558105676e+00,5.392363636363636248e-01,5.480000000000000426e-01
2.056954319520430285e+00,2.049223023796081566e+00,5.617999999999999661e-01,5.679999999999999494e-01
2.046189871961420437e+00,2.040481918907165682e+00,5.785272727272727789e-01,5.786000000000000032e-01
2.038742140813307291e+00,2.034193136596679885e+00,5.909454545454545515e-01,5.986000000000000210e-01
2.033547452926635746e+00,2.029726371002197105e+00,6.029999999999999805e-01,6.018000000000000016e-01
2.029805453473871424e+00,2.026472150421142704e+00,6.092363636363636870e-01,6.114000000000000545e-01
2.027018677668138036e+00,2.024016826820373538e+00,6.156727272727272604e-01,6.153999999999999471e-01
2.024942988569086388e+00,2.022804376792907810e+00,6.200909090909091370e-01,6.208000000000000185e-01
