CE_train,CE_val,accuracy_train,accuracy_val
2.090236141291531791e+00,1.982176361656188934e+00,5.857999999999999874e-01,7.588000000000000300e-01
1.941468824516643155e+00,1.914202139091491617e+00,7.842181818181818143e-01,8.077999999999999625e-01
1.899508000850677503e+00,1.888796440315246628e+00,8.132727272727272583e-01,8.227999999999999758e-01
1.881458516857840824e+00,1.876334892654418995e+00,8.256000000000000005e-01,8.289999999999999591e-01
1.871229537660425324e+00,1.868345179557800328e+00,8.314545454545454461e-01,8.346000000000000085e-01
1.864577067852020154e+00,1.862690504646301370e+00,8.355636363636363972e-01,8.376000000000000112e-01
1.859753083705902199e+00,1.858862157440185570e+00,8.371636363636363320e-01,8.406000000000000139e-01
1.856071647730740626e+00,1.855868271064758268e+00,8.389999999999999680e-01,8.384000000000000341e-01
1.853144452138380638e+00,1.853040119361877514e+00,8.404727272727272602e-01,8.447999999999999954e-01
1.850711247270757420e+00,1.850967024803161554e+00,8.417272727272727684e-01,8.449999999999999734e-01
1.848609308762983794e+00,1.849205996131896956e+00,8.432545454545454788e-01,8.447999999999999954e-01
1.846921514641154838e+00,1.847636467361450263e+00,8.436909090909090470e-01,8.479999999999999760e-01
1.845430965293537451e+00,1.845955010795593321e+00,8.445090909090908760e-01,8.514000000000000457e-01
1.844087554194710377e+00,1.844840093231201239e+00,8.454545454545454586e-01,8.486000000000000210e-01
1.842946280219338151e+00,1.844157170104980370e+00,8.455636363636364061e-01,8.454000000000000403e-01
